engine_used,genre_labels,aggregated_rating,release_year,rating_count
RAGE,Shooter,88.13793103448276,2013.0,4709
RAGE, Racing,88.13793103448276,2013.0,4709
RAGE, Adventure,88.13793103448276,2013.0,4709
REDengine,RPG,91.72,2015.0,4224
REDengine, Adventure,91.72,2015.0,4224
Source,Shooter,92.44444444444444,2011.0,3632
Source, Platform,92.44444444444444,2011.0,3632
Source, Puzzle,92.44444444444444,2011.0,3632
Source, Adventure,92.44444444444444,2011.0,3632
Creation Engine,RPG,79.91666666666667,2011.0,3526
Creation Engine, Adventure,79.91666666666667,2011.0,3526
Source,Shooter,80.0,2007.0,3288
Source, Platform,80.0,2007.0,3288
Source, Puzzle,80.0,2007.0,3288
RenderWare,Shooter,93.14285714285714,2004.0,3185
RenderWare, Racing,93.14285714285714,2004.0,3185
RenderWare, Adventure,93.14285714285714,2004.0,3185
Source,Shooter,79.125,2004.0,2809
Havok,Shooter,91.53846153846152,2013.0,2772
Havok, Adventure,91.53846153846152,2013.0,2772
Havok,Shooter,92.625,2007.0,2660
Havok, Puzzle,92.625,2007.0,2660
Havok,RPG,92.625,2007.0,2660
Havok, Adventure,92.625,2007.0,2660
 Unreal Engine 2.5,Shooter,92.625,2007.0,2660
 Unreal Engine 2.5, Puzzle,92.625,2007.0,2660
 Unreal Engine 2.5,RPG,92.625,2007.0,2660
 Unreal Engine 2.5, Adventure,92.625,2007.0,2660
Anvil,Platform,90.25,2009.0,2649
Anvil, Adventure,90.25,2009.0,2649
RAGE,Shooter,94.05882352941175,2018.0,2494
RAGE,RPG,94.05882352941175,2018.0,2494
RAGE, Adventure,94.05882352941175,2018.0,2494
RenderWare,Shooter,94.0,2002.0,2492
RenderWare, Racing,94.0,2002.0,2492
RenderWare, Adventure,94.0,2002.0,2492
RenderWare, Arcade,94.0,2002.0,2492
GoldSrc,Shooter,80.0,1998.0,2393
GoldSrc, Puzzle,80.0,1998.0,2393
GoldSrc, Adventure,80.0,1998.0,2393
Unreal Engine 3,Shooter,95.6,2010.0,2377
Unreal Engine 3,RPG,95.6,2010.0,2377
Unreal Engine 3, Adventure,95.6,2010.0,2377
Unreal Engine,Shooter,93.21428571428572,2013.0,2363
Unreal Engine, Adventure,93.21428571428572,2013.0,2363
Havok Physics,Puzzle,97.5925925925926,2017.0,2329
Havok Physics,RPG,97.5925925925926,2017.0,2329
Havok Physics, Adventure,97.5925925925926,2017.0,2329
 In-house engine,Puzzle,97.5925925925926,2017.0,2329
 In-house engine,RPG,97.5925925925926,2017.0,2329
 In-house engine, Adventure,97.5925925925926,2017.0,2329
Unreal Engine,Hack and slash/Beat 'em up,89.4,2009.0,2295
Unreal Engine, Adventure,89.4,2009.0,2295
Unreal Engine,Hack and slash/Beat 'em up,91.2,2011.0,2212
Unreal Engine, Adventure,91.2,2011.0,2212
Unreal Engine 3,Shooter,88.5,2007.0,2165
Unreal Engine 3,RPG,88.5,2007.0,2165
Crystal Engine,Shooter,84.64285714285714,2013.0,2056
Crystal Engine, Platform,84.64285714285714,2013.0,2056
Crystal Engine, Puzzle,84.64285714285714,2013.0,2056
Crystal Engine, Adventure,84.64285714285714,2013.0,2056
RAGE,Shooter,91.8,2010.0,1986
RAGE,RPG,91.8,2010.0,1986
RAGE, Adventure,91.8,2010.0,1986
Decima,Shooter,88.84615384615384,2017.0,1937
Decima,RPG,88.84615384615384,2017.0,1937
Decima, Adventure,88.84615384615384,2017.0,1937
Gamebryo,Shooter,81.9,2010.0,1907
