release_year,genre,games_count,avg_rating,total_rating_count,release_decade
1971, Adventure,1,,29,1970
1971, Strategy,1,,29,1970
1971,Simulator,1,,29,1970
1972, Arcade,1,,108,1970
1972, Sport,1,,108,1970
1972,Simulator,1,,108,1970
1976,Arcade,1,,42,1970
1977, Arcade,1,,28,1970
1977,Shooter,1,,28,1970
1978, Arcade,1,,151,1970
1978,Shooter,1,,151,1970
1979, Arcade,2,90.0,132,1970
1979,Shooter,2,90.0,132,1970
1980, Arcade,1,76.66666666666667,41,1980
1980,Adventure,1,,34,1980
1980,Arcade,1,78.66666666666667,241,1980
1980,Shooter,1,76.66666666666667,41,1980
1981, Arcade,4,72.5,407,1980
1981, Strategy,1,70.0,32,1980
1981,Platform,2,,256,1980
1981,Role-playing (RPG),1,,29,1980
1981,Shooter,3,71.66666666666667,183,1980
1982, Adventure,2,,122,1980
1982, Arcade,8,71.0,297,1980
1982, Platform,1,80.0,28,1980
1982, Puzzle,1,64.0,36,1980
1982, Racing,1,,29,1980
1982, Sport,1,60.0,37,1980
1982, Strategy,1,,35,1980
1982,Arcade,2,77.0,153,1980
1982,Fighting,1,80.0,28,1980
1982,Platform,4,64.0,225,1980
1982,Puzzle,2,80.0,64,1980
1982,Racing,1,60.0,37,1980
1982,Shooter,1,,29,1980
1982,Strategy,1,,36,1980
1983, Adventure,1,,31,1980
1983, Arcade,8,73.33333333333334,361,1980
1983, Platform,1,80.0,39,1980
1983, Puzzle,2,80.0,75,1980
1983, Racing,2,80.0,69,1980
1983, Strategy,1,,31,1980
1983,Adventure,1,53.33333333333334,35,1980
1983,Platform,7,80.0,324,1980
1983,Shooter,2,80.0,73,1980
1983,Sport,1,80.0,35,1980
1984, Adventure,1,,32,1980
1984, Arcade,13,57.61111111111112,845,1980
1984, Puzzle,2,80.0,65,1980
1984, Simulator,2,76.66666666666667,112,1980
1984, Sport,1,,151,1980
1984, Strategy,2,,53,1980
1984,Arcade,1,80.0,36,1980
1984,Fighting,1,20.0,31,1980
1984,Hack and slash/Beat 'em up,1,,49,1980
1984,Platform,2,80.0,80,1980
1984,Point-and-click,1,,32,1980
1984,Puzzle,2,,91,1980
1984,Racing,3,76.66666666666667,274,1980
1984,Shooter,5,54.5,369,1980
1984,Sport,1,,31,1980
1984,Strategy,1,60.0,27,1980
1985, Adventure,5,75.875,1421,1980
